  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  9.4500e-13           98.49288488    131755971.20858440        2245.79997201           -1.00259249         2244.79737952 
  9.5000e-13           98.65158718     61568287.06432266        2249.41864578           -1.00014918         2248.41849660 
  9.5500e-13           98.80114201     41643130.79507562        2252.82874216           -0.99745253         2251.83128963 
  9.6000e-13           98.93896752     73259641.78394963        2255.97139073           -0.99451786         2254.97687286 
  9.6500e-13           99.05403978            0.00000000        2258.59522784           -0.99136027         2257.60386757 
  9.7000e-13           99.15223552     59873855.60276441        2260.83425230           -0.98799455         2259.84625775 
  9.7500e-13           99.22818458     65545500.69835027        2262.56601593           -0.98443518         2261.58158075 
  9.8000e-13           99.28729817    133043291.21244319        2263.91390326           -0.98069623         2262.93320703 
  9.8500e-13           99.33267685     67949306.32187505        2264.94861178           -0.97679140         2263.97182038 
  9.9000e-13           99.35825602            0.00000000        2265.53185893           -0.97273395         2264.55912498 
  9.9500e-13           99.36543759    118461652.35064137        2265.69561064           -0.96853670         2264.72707395 
  1.0000e-12           99.35960474            0.00000000        2265.56261202           -0.96421201         2264.59840001 
